State,District,district_id,dmi_equal_weights,dmi_expert_weights,dmi_category_weights,rank_equal,rank_expert,rank_category,quintile_equal,quintile_expert,quintile_category
ANDAMAN AND NICOBAR ISLANDS,Nicobars,ANDAMAN_AND_NICOBAR_ISLANDS_Nicobars,0.3603052656526531,0.4183017197926088,0.21728364815142598,281,271,217,Moderate Deprivation,Moderate Deprivation,High Deprivation
ANDAMAN AND NICOBAR ISLANDS,North  And Middle Andaman,ANDAMAN_AND_NICOBAR_ISLANDS_North__And_Middle_Andaman,0.2472720546902646,-0.007464333157667553,0.09558653784964566,300,356,289,Moderate Deprivation,Moderate Deprivation,Moderate Deprivation
ANDAMAN AND NICOBAR ISLANDS,South Andaman,ANDAMAN_AND_NICOBAR_ISLANDS_South_Andaman,2.363692596764044,2.2888659672633014,0.5645755698828748,56,62,59,Most Deprived,Most Deprived,Most Deprived
ANDHRA PRADESH,Adilabad,ANDHRA_PRADESH_Adilabad,0.2360881345809664,0.47659678371461883,0.08864662917323408,303,262,293,Moderate Deprivation,Moderate Deprivation,Moderate Deprivation
ANDHRA PRADESH,Anantapur,ANDHRA_PRADESH_Anantapur,0.5260884886689131,0.8342636399346195,0.2549694558033309,251,201,190,High Deprivation,High Deprivation,High Deprivation
ANDHRA PRADESH,Chittoor,ANDHRA_PRADESH_Chittoor,0.9001099960927446,1.0440181047931414,0.3100426188478295,180,162,147,High Deprivation,High Deprivation,High Deprivation
ANDHRA PRADESH,East Godavari,ANDHRA_PRADESH_East_Godavari,1.1212531577373728,1.3011896854375673,0.4227295517744621,150,130,99,High Deprivation,High Deprivation,Most Deprived
ANDHRA PRADESH,Guntur,ANDHRA_PRADESH_Guntur,1.2282671047390574,1.4894422116522226,0.3851783795569028,137,115,118,High Deprivation,Most Deprived,Most Deprived
ANDHRA PRADESH,Hyderabad,ANDHRA_PRADESH_Hyderabad,6.259322923519733,6.794319969566306,1.3806155081066362,6,6,3,Most Deprived,Most Deprived,Most Deprived
ANDHRA PRADESH,Karimnagar,ANDHRA_PRADESH_Karimnagar,0.8283973538114889,1.1405572473317371,0.34053082566353904,190,148,134,High Deprivation,High Deprivation,High Deprivation
ANDHRA PRADESH,Khammam,ANDHRA_PRADESH_Khammam,0.8142480050706538,1.097072003595815,0.32505403052097165,196,154,143,High Deprivation,High Deprivation,High Deprivation
ANDHRA PRADESH,Krishna,ANDHRA_PRADESH_Krishna,1.8733567468030268,2.0911734896166982,0.5739888428134416,81,67,56,Most Deprived,Most Deprived,Most Deprived
ANDHRA PRADESH,Kurnool,ANDHRA_PRADESH_Kurnool,0.5267552127402362,0.9487601897789205,0.2724227757055388,250,181,178,High Deprivation,High Deprivation,High Deprivation
