State,District,health_score,education_score,economic_score,infrastructure_score,social_score,dmi_equal_weights,rank_equal_weights,dmi_poverty_first,rank_poverty_first,dmi_human_development,rank_human_development
ANDAMAN AND NICOBAR ISLANDS,Nicobars,0.4856051872787274,0.37603954661696154,0.0024184817360900224,0.006851832920711826,0.34386941477358207,75.70431073347854,88.0,81.71777100670666,26.0,68.0182916845345,237.0
ANDAMAN AND NICOBAR ISLANDS,North  AND Middle Andaman,0.4856051872787274,0.37603954661696154,0.007530375460198652,0.017570323223917928,0.34386941477358207,75.38770305293225,113.0,81.35251790319423,43.0,67.83442837564083,260.0
ANDAMAN AND NICOBAR ISLANDS,South Andaman,0.4856051872787274,0.37603954661696154,0.01569173320967803,0.02450571208365633,0.3482450228593286,74.99825595903296,158.0,80.85639863903276,71.0,67.62077608037251,288.0
ANDHRA PRADESH,Adilabad,0.4856051872787274,0.3025495750708216,0.3265572846032875,0.23393083976367937,0.34386941477358207,66.14975397019805,853.0,66.44838336256635,901.0,63.45756857721177,705.0
ANDHRA PRADESH,Anantapur,0.4856051872787274,0.3297450424929178,0.43987311730860656,0.33371940426146696,0.3482450228593286,61.256244515979056,943.0,59.945355454269134,955.0,59.786226041452004,874.0
ANDHRA PRADESH,Chittoor,0.4856051872787274,0.37603954661696154,0.4294108475190203,0.34741464969088975,0.3482450228593286,60.26569492070144,953.0,59.46400000255059,957.0,58.18589998966004,909.0
ANDHRA PRADESH,East Godavari,0.4856051872787274,0.4319886140206382,0.40225780310621395,0.45280360969839406,0.3482450228593286,57.581995260733954,965.0,58.130051367895106,966.0,55.581088696648415,947.0
ANDHRA PRADESH,Guntur,0.4856051872787274,0.37603954661696154,0.532661255683717,0.4728357964057943,0.3482450228593286,55.692263823109414,970.0,53.45266647523914,974.0,55.38293240004055,949.0
ANDHRA PRADESH,Hyderabad,0.4856051872787274,0.37603954661696154,0.26106570631706627,0.41160443232527005,0.3533400556907222,62.24690143542505,927.0,65.15853341864212,922.0,60.04370411718858,865.0
ANDHRA PRADESH,Karimnagar,0.4856051872787274,0.3671388101983002,0.4107460271489196,0.37193816699348603,0.34386941477358207,60.41404787213969,951.0,60.04188522538178,954.0,58.55404093726746,904.0
ANDHRA PRADESH,Khammam,0.4856051872787274,0.37603954661696154,0.31110297790495656,0.26323004557934815,0.34386941477358207,64.40305655692849,901.0,65.52471797007244,918.0,60.82424211541515,842.0
ANDHRA PRADESH,Krishna,0.4856051872787274,0.3877157676936595,0.44960425420762373,0.47949934251602094,0.3533400556907222,56.884707852264924,967.0,56.423424534008106,969.0,56.128009059238295,943.0
ANDHRA PRADESH,Kurnool,0.4856051872787274,0.2762197797122867,0.4490338853038575,0.32554973964534584,0.3482450228593286,62.30692770400908,925.0,60.50434864541037,952.0,61.603895365006544,810.0
ANDHRA PRADESH,Mahbubnagar,0.4856051872787274,0.2762197797122867,0.5124542876822974,0.26986216978131017,0.3482450228593286,62.15227105372099,929.0,58.80284609823332,963.0,61.20946502797031,824.0
ANDHRA PRADESH,Medak,0.4856051872787274,0.2932011331444758,0.3345693346091782,0.2550746327812675,0.34386941477358207,65.75360594825538,862.0,65.95097109596209,911.0,63.45314536436963,707.0
ANDHRA PRADESH,Nalgonda,0.4856051872787274,0.336827195467422,0.38336897140273907,0.30116211841428114,0.34386941477358207,62.983342253264965,919.0,62.65328240488025,938.0,60.73336377483296,845.0
ANDHRA PRADESH,Nizamabad,0.4856051872787274,0.32039660056657226,0.2773200869760801,0.23132847559163128,0.34386941477358207,66.82960469626813,820.0,68.1892013477991,857.0,63.59750429098909,692.0
ANDHRA PRADESH,Prakasam,0.4856051872787274,0.31898016997167133,0.3749810128534924,0.31338222851808384,0.34386941477358207,63.26363973208885,915.0,63.07320447772933,935.0,61.361627944384914,818.0
ANDHRA PRADESH,Rangareddy,0.4856051872787274,0.43683183803378317,0.3708571838784228,0.5218507299743267,0.3533400556907222,56.63030010288035,969.0,58.2012954801997,965.0,55.1666387776889,951.0
ANDHRA PRADESH,Sri Potti Sriramulu Nellore,0.4856051872787274,0.37603954661696154,0.28273108577901424,0.2837876233861616,0.34386941477358207,64.55934284331106,894.0,66.35122998800793,903.0,61.044244719236154,832.0
ANDHRA PRADESH,Srikakulam,0.4856051872787274,0.3229461756373937,0.32024891031278174,0.18719831088948347,0.34386941477358207,66.80264002216063,821.0,67.09575725880093,883.0,63.30563846048128,719.0
