State,District,dmi_equal_weights,rank_equal_weights,health_score,education_score,economic_score,infrastructure_score,social_score
Nagaland,Tuensang,80.71481267809547,1.0,0.22238418555883746,0.1821974965229486,0.18346382051426458,0.11673282557502396,0.25948103792415167
Nagaland,Kiphire,80.70982298566204,2.0,0.24471580406654345,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.2777777777777777
CHHATTISGARH,Bijapur,80.48312477178371,3.0,0.4856051872787274,0.08821077205269312,0.052457909241164946,0.005700478064647015,0.34386941477358207
MADHYA PRADESH,Alirajpur,80.32538167760373,4.0,0.4856051872787274,0.025778300211254313,0.0909483497072451,0.037529664149004494,0.34386941477358207
ARUNACHAL PRADESH,Kurung Kumey,79.37766083043365,5.0,0.4856051872787274,0.18325829581457398,0.01017764761208397,0.00820641299934952,0.34386941477358207
Bihar,Katihar,79.24203091227683,6.0,0.3204340837171752,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.2754491017964072
Bihar,Jamui,79.23307912550713,7.0,0.32137980596478627,0.14456881918706999,0.18346382051426458,0.11508266055852237,0.2738509375
Bihar,Purnia,78.94277237669904,8.0,0.32342394490035176,0.14456881918706999,0.18346382051426458,0.11108221591820004,0.29032258064516125
Bihar,Araria,78.94019666135432,9.0,0.29002780260152916,0.14456881918706999,0.18346382051426458,0.10353437579221073,0.3313953488372093
CHHATTISGARH,Narayanpur,78.92072560115946,10.0,0.4856051872787274,0.19559779889944973,0.021557261821572783,0.007334057168694881,0.34386941477358207
Bihar,Kishanganj,78.81931717031938,11.0,0.3626729090529017,0.14456881918706999,0.18346382051426458,0.11108221591820004,0.25724637681159424
Nagaland,Longleng,78.72792835318513,12.0,0.31249740437725826,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.3090909090909091
CHHATTISGARH,Dakshin Bastar Dantewada,78.72001697664271,13.0,0.4856051872787274,0.1178922794730699,0.08228725873773218,0.034345010904753476,0.34386941477358207
Bihar,Purba Champaran,78.60670234905636,14.0,0.2824284451384025,0.14456881918706999,0.18346382051426458,0.1267295709033216,0.33247422680412375
Nagaland,Mon,78.57091017753173,15.0,0.29989376770538245,0.14746923244011156,0.18346382051426458,0.11108221591820004,0.3295454545454546
